id,rainfall
2190,0.0002730726
2191,9.2580965e-05
2192,0.003401812
2193,0.9892826
2194,0.99566036
2195,0.03646076
2196,0.0076191155
2197,0.0006816305
2198,0.002069548
2199,0.09834617
2200,0.00015490466
2201,0.99504095
2202,0.0002378148
2203,0.00045953892
2204,0.9448899
2205,0.999752
2206,0.07829685
2207,0.18994649
2208,0.99551034
2209,0.9997414
2210,0.98953587
2211,0.9674397
2212,0.054858
2213,0.000106853215
2214,0.0117094815
2215,0.6792926
2216,0.9977431
2217,0.00017067103
2218,0.004253286
2219,0.73495793
2220,0.0054095164
2221,0.0017969281
2222,0.027161436
2223,0.00048680961
2224,0.03268409
2225,0.0059438525
2226,0.92381257
2227,0.0075197
2228,0.03668797
2229,0.022460103
2230,0.026080515
2231,0.010488449
2232,0.99339867
2233,0.006637395
2234,0.0036064137
2235,0.9758086
2236,0.98647577
2237,0.00057481683
2238,0.9706635
2239,0.05223007
2240,0.0022414874
2241,0.00029705558
2242,0.00016517252
2243,0.00059722236
2244,0.0002062287
2245,0.00042997568
2246,0.0031056302
2247,0.0036543978
2248,0.002587118
2249,0.0013657244
2250,0.03601286
2251,0.0007810538
2252,0.002177476
2253,0.025719471
2254,0.67120546
2255,0.9426238
2256,0.9892771
2257,0.024198083
2258,0.01392671
2259,0.97999865
2260,0.00014291453
2261,0.014308649
2262,0.0059397854
2263,0.0018233281
2264,0.00085386
2265,0.023180196
2266,0.0029732143
2267,0.00011964968
2268,0.77605885
2269,0.0005929348
2270,0.0025543072
2271,0.00014646897
2272,0.93042886
2273,0.004657203
2274,0.0006978472
2275,0.000862394
2276,0.0003810637
2277,0.0065445323
2278,0.0015492064
2279,0.0023263441
2280,0.002778686
2281,0.0013880578
2282,0.002487637
2283,0.009104985
2284,0.002322893
2285,0.00083563384
2286,0.00018848397
2287,0.0022435233
2288,0.011979957
2289,0.05655116
2290,0.00015611865
2291,0.008680062
2292,0.02824236
2293,0.00023574552
2294,0.0017411286
2295,0.002151725
2296,0.00035934165
2297,0.0029353679
2298,0.00029260493
2299,0.012541547
2300,0.00046383752
2301,0.13709144
2302,0.033306543
2303,0.00020867863
2304,0.0007641919
2305,0.004559367
2306,0.0024144584
2307,0.015844485
2308,0.0041413326
2309,0.0020680123
2310,0.4274229
2311,0.030219402
2312,0.10821849
2313,0.8390168
2314,0.002385888
2315,0.58556455
2316,0.00012447638
2317,0.0003631914
2318,0.00058450084
2319,0.0029171866
2320,0.0015149473
2321,0.0012419869
2322,0.117806554
2323,0.0024096363
2324,0.00024011185
2325,0.0021419972
2326,0.00047287383
2327,0.00020765606
2328,0.00051151676
2329,0.0001350932
2330,0.000119771365
2331,0.018690085
2332,0.9892805
2333,0.0011026883
2334,0.000153975
2335,5.853687e-05
2336,3.283226e-05
2337,0.95596975
2338,0.00034740823
2339,0.30805868
2340,0.00014051012
2341,0.008473264
2342,0.00075150904
2343,0.9261828
2344,0.001355736
2345,0.005861217
2346,0.01460971
2347,0.005434149
2348,0.004058888
2349,0.007405421
2350,0.013540292
2351,0.002044742
2352,0.9627537
2353,0.8969882
2354,0.9491741
2355,0.34125426
2356,0.002246097
2357,0.0018593577
2358,0.0018098388
2359,0.8581767
2360,0.0021370882
2361,0.22663188
2362,0.0014218487
2363,0.57950443
2364,0.004387766
2365,0.00010966721
2366,0.0008438122
2367,0.00033800508
2368,0.00042679632
2369,0.028249925
2370,0.0017907319
2371,0.0071982713
2372,0.94381785
2373,0.0007275342
2374,0.20424952
2375,0.3512215
2376,0.8639572
2377,0.012257752
2378,0.0002621528
2379,0.025951479
2380,0.013909983
2381,0.019613875
2382,0.11746885
2383,0.9728214
2384,0.21671988
2385,0.8718571
2386,0.92561674
2387,0.16037767
2388,0.029579613
2389,0.9380196
2390,0.91916496
2391,0.004619406
2392,0.7819157
2393,0.0059362445
2394,0.0032284323
2395,0.40859786
2396,0.00025580978
2397,0.005170797
2398,0.19238368
2399,0.36887673
2400,0.082476765
2401,0.16049685
2402,0.0059705814
2403,0.02593343
2404,0.0001686267
2405,0.0027412467
2406,0.00093975046
2407,0.00399227
2408,0.9900059
2409,0.000985028
2410,0.32990444
2411,0.00021183405
2412,0.0018386645
2413,0.01024944
2414,0.0013139124
2415,0.6577489
2416,0.0038713454
2417,0.0026862093
2418,0.004361083
2419,0.34442025
2420,0.8775963
2421,0.71111685
2422,0.0016743738
2423,8.660776e-05
2424,0.00051697914
2425,0.9873455
2426,0.90363336
2427,0.8611804
2428,0.0024288602
2429,0.5629315
2430,0.024441434
2431,0.0018714385
2432,0.0074942484
2433,0.9281312
2434,0.0008980352
2435,0.023004957
2436,0.0064616525
2437,0.3336378
2438,0.0025091174
2439,0.016488237
2440,0.20074333
2441,0.006025758
2442,0.15362543
2443,0.43524712
2444,0.00035888492
2445,0.0038010078
2446,0.0016535145
2447,0.0008351912
2448,0.0006020465
2449,0.93591857
2450,0.001423248
2451,0.00020227075
2452,0.0005625854
2453,0.0011246947
2454,0.002319988
2455,0.56724757
2456,0.7647088
2457,0.022250278
2458,0.0012022468
2459,0.7056941
