Id,Category
1,62
2,33
3,8
4,29
5,18
6,55
7,13
8,8
9,67
10,18
11,32
12,67
13,67
14,60
15,6
16,8
17,32
18,43
19,18
20,45
21,18
22,41
23,58
24,53
25,6
26,50
27,6
28,18
29,18
30,18
31,18
32,18
33,44
34,25
35,68
36,18
37,31
38,75
39,18
40,18
41,75
42,6
43,40
44,71
45,32
46,18
47,8
48,76
49,18
50,18
51,26
52,8
53,45
54,15
55,43
56,18
57,0
58,8
59,8
60,18
61,45
62,60
63,30
64,18
65,36
66,21
67,18
68,55
69,67
70,15
71,32
72,18
73,12
74,18
75,18
76,18
77,50
78,45
79,56
80,22
81,22
82,18
83,40
84,21
85,18
86,18
87,6
88,59
89,18
90,18
91,12
92,72
93,58
94,70
95,65
96,45
97,8
98,31
99,32
100,18
101,8
102,0
103,4
104,63
105,32
106,51
107,54
108,6
109,12
110,1
111,10
112,8
113,22
114,23
115,18
116,6
117,18
118,22
119,12
120,61
121,18
122,65
123,25
124,18
125,44
126,22
127,18
128,62
129,8
130,6
131,6
132,22
133,22
134,22
135,67
136,18
137,18
138,62
139,33
140,46
141,51
142,1
143,1
144,33
145,62
146,1
147,22
148,10
149,62
150,15
151,18
152,66
153,11
154,18
155,28
156,5
157,26
158,31
159,8
160,44
161,52
162,19
163,31
164,8
165,18
166,30
167,43
168,22
169,54
170,27
171,8
172,48
173,18
174,18
175,44
176,24
177,58
178,18
179,8
180,71
181,51
182,18
183,58
184,15
185,18
186,40
187,18
188,8
189,59
190,59
191,46
192,8
193,1
194,20
195,62
196,62
197,18
198,3
199,18
200,18
201,60
202,18
203,61
204,18
205,16
206,18
207,31
208,8
209,8
210,62
211,6
212,73
213,6
214,63
215,10
216,8
217,18
218,22
219,43
220,6
221,60
222,50
223,50
224,45
225,45
226,18
227,50
228,18
229,62
230,60
231,8
232,66
233,8
234,18
235,8
236,8
237,61
238,7
239,50
240,18
241,8
242,40
243,0
244,63
245,67
246,68
247,18
248,18
249,40
250,2
251,39
252,22
253,62
254,37
255,6
256,7
257,20
258,15
259,22
260,68
261,71
262,15
263,54
264,18
265,22
266,18
267,9
268,45
269,22
270,18
271,8
272,22
273,7
274,2
275,8
276,59
277,36
278,6
279,57
280,8
281,8
282,41
283,57
284,22
285,18
286,15
287,18
288,48
289,6
290,68
291,7
292,31
293,8
294,8
295,18
296,48
297,63
298,38
299,62
300,8
301,18
302,50
303,18
304,18
305,18
306,71
307,18
308,18
309,18
310,18
311,3
312,61
313,36
314,22
315,33
316,1
317,43
318,6
319,36
320,12
321,33
322,18
323,15
324,52
325,60
326,27
327,18
328,40
329,18
330,67
331,8
332,31
333,33
334,2
335,37
336,18
337,18
338,18
339,8
340,8
341,18
342,63
343,6
344,62
345,57
346,8
347,52
348,8
349,46
350,17
351,3
352,18
353,63
354,55
355,74
356,33
357,33
358,18
359,18
360,38
361,22
362,18
363,18
364,0
365,46
366,15
367,32
368,0
369,4
370,76
371,18
372,67
373,6
374,49
375,45
376,62
377,8
378,18
379,42
380,41
381,23
382,18
383,7
384,52
385,6
386,61
387,18
388,18
389,18
390,39
391,28
392,44
393,22
394,8
395,61
396,8
397,65
398,55
399,18
400,18
401,18
402,63
403,69
404,16
405,18
406,71
407,57
408,8
409,46
410,14
411,18
412,15
413,61
414,18
415,62
416,18
417,18
418,6
419,22
420,37
421,18
422,75
423,18
424,50
425,64
426,18
427,53
428,18
429,35
430,8
431,48
432,51
433,76
434,3
435,7
436,77
437,14
438,6
439,22
440,18
441,3
442,67
443,27
444,33
445,64
446,8
447,31
448,6
449,6
450,6
451,67
452,18
453,28
454,35
455,36
456,29
457,6
458,6
459,18
460,46
461,33
462,6
463,15
464,6
465,3
466,49
467,38
468,1
469,26
470,77
471,71
472,24
473,54
474,32
475,36
476,18
477,71
478,62
479,14
480,62
481,30
482,1
483,38
484,61
485,51
486,18
487,22
488,22
489,71
490,18
491,18
492,76
493,20
494,8
495,60
496,8
497,8
498,74
499,18
500,31
501,18
502,18
503,11
504,18
505,32
506,15
507,62
508,8
509,64
510,2
511,7
512,73
513,2
514,31
515,7
516,63
517,42
518,36
519,18
520,6
521,15
522,20
523,26
524,18
525,23
526,40
527,50
528,6
529,62
530,24
531,15
532,18
533,7
534,2
535,51
536,22
537,8
538,48
539,34
540,18
541,71
542,8
543,55
544,6
545,18
546,6
547,35
548,20
549,59
550,62
551,48
552,22
553,0
554,15
555,0
556,34
557,42
558,18
559,8
560,57
561,48
562,8
563,18
564,64
565,62
566,34
567,16
568,8
569,18
570,18
571,51
572,18
573,45
574,67
575,38
576,33
577,18
578,70
579,53
580,18
581,18
582,3
583,7
584,39
585,26
586,18
587,8
588,7
589,11
590,18
591,33
592,8
593,32
594,18
595,27
596,0
597,42
598,17
599,11
600,8
601,18
602,50
603,61
604,8
605,18
606,3
607,18
608,18
609,17
610,63
611,18
612,35
613,7
614,8
615,46
616,70
617,58
618,51
619,47
620,22
621,62
622,18
623,18
624,36
625,27
626,3
627,18
628,22
629,15
630,8
631,18
632,18
633,27
634,37
635,60
636,8
637,7
638,22
639,26
640,23
641,24
642,18
643,77
644,26
645,22
646,18
647,18
648,29
649,42
650,28
651,6
652,22
653,8
654,3
655,34
656,77
657,61
658,18
659,0
660,18
661,22
662,6
663,61
664,18
665,42
666,18
667,7
668,18
669,6
670,22
671,46
672,4
673,29
674,1
675,6
676,22
677,2
678,65
679,8
680,18
681,72
682,18
683,71
684,18
685,67
686,34
687,8
688,77
689,3
690,8
691,42
692,67
693,8
694,11
695,55
696,31
697,6
698,67
699,18
700,51
701,18
702,58
703,38
704,18
705,7
706,54
707,62
708,71
709,62
710,22
711,33
712,6
713,15
714,18
715,65
716,6
717,12
718,18
719,18
720,25
721,46
722,58
723,14
724,67
725,57
726,44
727,63
728,22
729,22
730,6
731,66
732,22
733,54
734,55
735,51
736,18
737,63
738,23
739,62
740,20
741,26
742,8
743,66
744,76
745,52
746,25
747,18
748,18
749,45
750,61
751,42
752,66
753,22
754,6
755,46
756,74
757,8
758,29
759,18
760,15
761,22
762,29
763,58
764,49
765,48
766,32
767,18
768,23
769,49
770,33
771,31
772,28
773,60
774,69
775,71
776,36
777,18
778,72
779,62
780,22
781,68
782,1
783,62
784,18
785,21
786,47
787,60
788,63
789,46
790,18
791,18
792,18
793,15
794,52
795,75
796,60
797,63
798,3
799,10
800,6
801,22
802,39
803,55
804,6
805,63
806,67
807,18
808,67
809,67
810,18
811,18
812,8
813,63
814,8
815,15
816,18
817,22
818,18
819,22
820,62
821,76
822,69
823,18
824,18
825,8
826,31
827,6
828,11
829,18
830,18
831,29
832,8
833,49
834,18
835,8
836,18
837,67
838,18
839,63
840,67
841,27
842,22
843,64
844,4
845,18
846,0
847,15
848,6
849,37
850,61
851,6
852,8
853,18
854,70
855,18
856,18
857,73
858,5
859,67
860,23
861,6
862,8
863,18
864,25
865,44
866,18
867,8
