id,Price
300000,80.799644
300001,80.08666
300002,78.86388
300003,79.85336
300004,80.02756
300005,81.841576
300006,80.28732
300007,81.56869
300008,81.43701
300009,79.230064
300010,79.326324
300011,79.37231
300012,80.44396
300013,81.33401
300014,81.8491
300015,82.695816
300016,79.45794
300017,80.42339
300018,82.74389
300019,80.03485
300020,79.83482
300021,79.689476
300022,79.13662
300023,80.26772
300024,78.9495
300025,79.49828
300026,80.56968
300027,80.50032
300028,81.20104
300029,81.50671
300030,83.012535
300031,80.23827
300032,78.72187
300033,78.77117
300034,77.68233
300035,79.431145
300036,83.413216
300037,81.90353
300038,77.98318
300039,80.65343
300040,83.58236
300041,83.50233
300042,79.81656
300043,80.35716
300044,82.67274
300045,82.67011
300046,83.3576
300047,81.188736
300048,81.8351
300049,78.45157
300050,80.20638
300051,78.97388
300052,80.77096
300053,83.16416
300054,79.5069
300055,80.724464
300056,78.084724
300057,81.32731
300058,81.991806
300059,82.01459
300060,82.20464
300061,81.80725
300062,81.1772
300063,82.204094
300064,78.73513
300065,80.668625
300066,81.80696
300067,83.51144
300068,78.75987
300069,83.192345
300070,79.29012
300071,82.372795
300072,80.02152
300073,79.68795
300074,82.4734
300075,79.68
300076,79.48019
300077,78.177574
300078,81.53056
300079,80.52895
300080,79.00077
300081,81.98728
300082,82.312164
300083,79.352264
300084,81.41002
300085,81.909904
300086,80.365814
300087,83.17544
300088,79.68914
300089,81.50095
300090,81.344475
300091,80.79431
300092,81.623924
300093,79.25753
300094,78.17049
300095,82.9539
300096,78.15362
300097,78.46394
300098,81.70729
300099,80.64189
300100,81.03919
300101,79.95318
300102,80.688545
300103,78.312225
300104,82.47816
300105,82.94078
300106,80.390526
300107,80.05525
300108,80.592125
300109,83.66361
300110,79.810234
300111,77.1098
300112,82.26462
300113,80.41423
300114,82.03402
300115,81.974525
300116,82.01832
300117,81.466576
300118,79.65891
300119,79.288216
300120,81.08818
300121,81.679
300122,81.90964
300123,81.13299
300124,79.705666
300125,80.511475
300126,80.77502
300127,79.86878
300128,80.25316
300129,81.934685
300130,79.541016
300131,79.06023
300132,81.97199
300133,78.726875
300134,82.01076
300135,81.32202
300136,82.11588
300137,80.18467
300138,79.3709
300139,81.21711
300140,79.19343
300141,80.83692
300142,78.41785
300143,80.927185
300144,82.57614
300145,81.31749
300146,81.63317
300147,82.409386
300148,79.15952
300149,80.52451
300150,82.396095
300151,81.79576
300152,79.07247
300153,80.6594
300154,82.182076
300155,77.99334
300156,81.025154
300157,78.606575
300158,81.86422
300159,82.37005
300160,79.60459
300161,79.57961
300162,81.56258
300163,81.79046
300164,79.870384
300165,81.57421
300166,82.82062
300167,80.688225
300168,81.46201
