event_id,prob_12h,prob_24h,prob_48h,prob_72h
10662602,0.00010206731908614405,0.0001360897587815254,0.00017011219847690674,0.0002041346381722881
13353600,0.5996990675309648,0.7995987567079532,0.9994984458849414,1.0
13942327,0.00010275170190769727,0.00013700226921026302,0.00017125283651282878,0.00020550340381539454
16112781,0.599679640254036,0.7995728536720481,0.99946606709006,1.0
17132808,0.014065597337278177,0.018754129783037574,0.023442662228796964,0.028131194674556353
17445696,5.377091428437375e-05,7.1694552379165e-05,8.961819047395625e-05,0.0001075418285687475
17599982,0.00010979086014494263,0.0001463878135265902,0.00018298476690823773,0.00021958172028988527
18750374,0.5994669362862124,0.7992892483816165,0.9991115604770207,1.0
21365245,6.022118770336085e-05,8.029491693781448e-05,0.00010036864617226809,0.0001204423754067217
23634840,0.5996796219725614,0.7995728292967486,0.9994660366209357,1.0
24461897,0.00018658218584902277,0.00024877624779869707,0.0003109703097483713,0.00037316437169804555
25353357,8.827115262605946e-05,0.00011769487016807929,0.0001471185877100991,0.00017654230525211893
27052376,0.599357650944904,0.7991435345932054,0.9989294182415067,1.0
29312582,5.811957147130699e-05,7.749276196174267e-05,9.686595245217833e-05,0.00011623914294261399
30451420,6.982250825400726e-05,9.30966776720097e-05,0.00011637084709001212,0.00013964501650801453
31488932,0.000109610528079528,0.000146147370772704,0.00018268421346588,0.000219221056159056
33717208,0.00010486563637846873,0.00013982084850462496,0.0001747760606307812,0.00020973127275693745
34826241,0.00011385253945195509,0.00015180338593594016,0.00018975423241992517,0.00022770507890391018
35311039,0.5964996683294802,0.7953328911059737,0.9941661138824671,1.0
36423390,0.00011914456965747037,0.00015885942620996052,0.00019857428276245063,0.00023828913931494075
37196135,0.5996744565401357,0.7995659420535144,0.9994574275668929,1.0
37355453,8.973751215441102e-05,0.00011965001620588136,0.0001495625202573517,0.00017947502430882203
37536067,0.5996869851352731,0.7995826468470308,0.9994783085587885,1.0
39717591,6.446024528721312e-05,8.594699371628417e-05,0.0001074337421453552,0.00012892049057442625
40833127,5.9524349529245955e-05,7.936579937232796e-05,9.920724921540993e-05,0.00011904869905849191
41907240,0.5996413599576143,0.799521813276819,0.9994022665960237,1.0
42963675,9.173449013452858e-05,0.0001223126535127048,0.00015289081689088098,0.00018346898026905717
42997746,0.012404227377714195,0.01653896983695226,0.020673712296190326,0.02480845475542839
43341281,7.229644290680929e-05,9.639525720907907e-05,0.00012049407151134883,0.00014459288581361858
43371713,0.5996962140931046,0.7995949521241396,0.9994936901551744,1.0
44872967,0.5997346861132133,0.7996462481509512,0.9995578101886889,1.0
46574754,0.5579521457211986,0.7439361942949314,0.9299202428686643,1.0
46767506,0.599682706804723,0.7995769424062974,0.9994711780078717,1.0
49169401,9.542793772696774e-05,0.00012723725030262364,0.00015904656287827956,0.00019085587545393547
49502022,7.227610961044995e-05,9.636814614726661e-05,0.00012046018268408326,0.0001445522192208999
49565135,0.5970345025156543,0.7960460033542058,0.9950575041927572,1.0
50233410,0.5993087922366367,0.799078389648849,0.9988479870610613,1.0
50541231,0.0002100116731131723,0.0002800155641508964,0.0003500194551886205,0.0004200233462263446
51664538,7.085661126955452e-05,9.447548169273937e-05,0.00011809435211592421,0.00014171322253910904
52004768,6.104081802248555e-05,8.138775736331407e-05,0.00010173469670414258,0.0001220816360449711
52039660,6.16897552954661e-05,8.225300706062147e-05,0.00010281625882577684,0.0001233795105909322
52614032,0.00011657201076328427,0.00015542934768437904,0.0001942866846054738,0.00023314402152656855
53407288,0.00010003685793958342,0.00013338247725277788,0.00016672809656597236,0.00020007371587916684
53799231,8.238700076718113e-05,0.00010984933435624152,0.0001373116679453019,0.00016477400153436226
54348573,0.00012403335289983564,0.00016537780386644753,0.0002067222548330594,0.0002480667057996713
54459140,7.94876642540201e-05,0.00010598355233869346,0.00013247944042336682,0.0001589753285080402
54759639,7.936851939634245e-05,0.00010582469252845661,0.00013228086566057076,0.0001587370387926849
54801108,0.5989974973619681,0.7986633298159576,0.9983291622699468,1.0
55504460,0.5883308197216659,0.7844410929622213,0.9805513662027766,1.0
58802003,0.00042638839902874075,0.0005685178653716544,0.0007106473317145679,0.0008527767980574815
58854430,0.0002221583867411086,0.0002962111823214782,0.0003702639779018477,0.0004443167734822172
59191113,8.059683100043794e-05,0.00010746244133391726,0.00013432805166739656,0.00016119366200087587
59221605,0.5997082199324939,0.799610959909992,0.99951369988749,1.0
60804856,0.5992532032939919,0.799004271058656,0.9987553388233199,1.0
61713947,6.280414267659292e-05,8.37388569021239e-05,0.00010467357112765487,0.00012560828535318583
62129708,0.5994469271526653,0.7992625695368872,0.999078211921109,1.0
66849621,0.5920700964119948,0.7894267952159931,0.9867834940199913,1.0
67124529,7.22449118721921e-05,9.63265491629228e-05,0.0001204081864536535,0.0001444898237443842
69348035,9.878437873561792e-05,0.00013171250498082392,0.00016464063122602988,0.00019756875747123584
69572379,7.89422802369304e-05,0.00010525637364924053,0.00013157046706155067,0.0001578845604738608
